channel  det   id   cid    a0    a1     a2    threshold
100      0     0    0      0.0   1.0    0.0   400E3
101      0     0    1      0.0   1.0    0.0   400E3
102      0     0    2      0.0   1.0    0.0   400E3
103      0     0    3      0.0   1.0    0.0   400E3
104      0     1    0      0.0   1.0    0.0   400E3
105      0     1    1      0.0   1.0    0.0   400E3
106      0     1    2      0.0   1.0    0.0   400E3
107      0     1    3      0.0   1.0    0.0   400E3
108      0     2    0      0.0   1.0    0.0   400E3
109      0     2    1      0.0   1.0    0.0   400E3
110      0     2    2      0.0   1.0    0.0   400E3
111      0     2    3      0.0   1.0    0.0   400E3
112      0     3    0      0.0   1.0    0.0   400E3
113      0     3    1      0.0   1.0    0.0   400E3
114      0     3    2      0.0   1.0    0.0   400E3
115      0     3    3      0.0   1.0    0.0   400E3
200      0     4    0      0.0   1.0    0.0   400E3
201      0     4    1      0.0   1.0    0.0   400E3
202      0     4    2      0.0   1.0    0.0   400E3
203      0     4    3      0.0   1.0    0.0   400E3
204      0     5    0      0.0   1.0    0.0   400E3
205      0     5    1      0.0   1.0    0.0   400E3
206      0     5    2      0.0   1.0    0.0   400E3
207      0     5    3      0.0   1.0    0.0   400E3
208      2     0    0      0.0   1.0    0.0   0.0
